Model,DPO2004B
Firmware Version,1.52

Point Format,Y,,,,,,,
Horizontal Units,S,,,,,,,
Horizontal Scale,0.0002,,,,,,,
Sample Interval,3.84025e-07,,,,,,,
Filter Frequency,7e+07,,,,,,,
Record Length,5207,,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,10,,10,,10,
Vertical Units,V,,V,,V,,V,
Vertical Offset,0,,0,,0,,0,
Vertical Scale,5,,1,,1,,1,
Label,,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect,CH4,CH4 Peak Detect
-9.084e-04,8.1,8.1,-0.78,-0.74,-0.12,-0.08,0.26,0.3
-9.081e-04,8.1,7.9,-0.78,-0.78,-0.08,-0.12,0.26,0.22
-9.077e-04,8.1,8.1,-0.78,-0.74,-0.12,-0.08,0.26,0.3
-9.073e-04,7.9,7.9,-0.78,-0.78,-0.08,-0.12,0.26,0.22
-9.069e-04,8.1,8.1,-0.74,-0.74,-0.08,-0.04,0.26,0.3
-9.065e-04,8.1,7.9,-0.78,-0.82,-0.08,-0.12,0.26,0.22
-9.061e-04,8.1,8.1,-0.78,-0.74,-0.08,-0.08,0.26,0.3
-9.058e-04,8.1,7.9,-0.74,-0.78,-0.08,-0.12,0.26,0.22
-9.054e-04,7.9,8.1,-0.78,-0.74,-0.12,-0.08,0.26,0.3
-9.050e-04,8.1,7.9,-0.78,-0.82,-0.12,-0.12,0.26,0.22
-9.046e-04,7.9,8.1,-0.74,-0.74,-0.12,-0.08,0.26,0.3
-9.042e-04,8.1,7.9,-0.78,-0.78,-0.12,-0.12,0.26,0.22
-9.038e-04,7.9,8.1,-0.78,-0.74,-0.12,-0.04,0.26,0.3
-9.034e-04,8.1,7.9,-0.78,-0.78,-0.12,-0.12,0.26,0.22
-9.031e-04,8.1,8.1,-0.78,-0.74,-0.08,-0.08,0.26,0.26
-9.027e-04,8.1,7.9,-0.74,-0.78,-0.08,-0.12,0.26,0.22
-9.023e-04,8.1,8.1,-0.78,-0.74,-0.08,-0.08,0.26,0.26
-9.019e-04,7.9,7.9,-0.78,-0.78,-0.12,-0.12,0.26,0.22
-9.015e-04,7.9,8.1,-0.78,-0.74,-0.08,-0.08,0.26,0.3
-9.011e-04,8.1,7.9,-0.74,-0.82,-0.08,-0.16,0.26,0.18
-9.008e-04,8.1,8.1,-0.78,-0.74,-0.08,-0.08,0.26,0.26
-9.004e-04,7.9,7.9,-0.78,-0.78,-0.12,-0.12,0.26,0.22
-9.000e-04,7.9,8.1,-0.78,-0.74,-0.08,-0.08,0.26,0.26
-8.996e-04,7.9,7.9,-0.78,-0.78,-0.12,-0.12,0.22,0.18
-8.992e-04,7.9,8.1,-0.78,-0.74,-0.12,-0.08,0.26,0.26
-8.988e-04,8.1,7.9,-0.78,-0.78,-0.12,-0.12,0.26,0.18
-8.985e-04,8.1,8.1,-0.78,-0.74,-0.12,-0.08,0.22,0.26
-8.981e-04,8.1,7.9,-0.78,-0.78,-0.12,-0.12,0.26,0.18
-8.977e-04,7.9,8.1,-0.78,-0.74,-0.12,-0.08,0.26,0.26
-8.973e-04,8.1,7.9,-0.74,-0.78,-0.12,-0.16,0.26,0.18
-8.969e-04,8.1,8.1,-0.78,-0.74,-0.08,-0.08,0.26,0.26
-8.965e-04,8.1,7.9,-0.78,-0.82,-0.12,-0.12,0.26,0.18
-8.962e-04,7.9,8.1,-0.78,-0.74,-0.12,-0.08,0.26,0.26
-8.958e-04,7.9,7.9,-0.78,-0.78,-0.12,-0.16,0.22,0.18
-8.954e-04,8.1,8.1,-0.78,-0.74,-0.12,-0.08,0.22,0.26
-8.950e-04,8.1,7.9,-0.78,-0.78,-0.12,-0.16,0.22,0.18
-8.946e-04,8.1,8.1,-0.78,-0.74,-0.12,-0.08,0.22,0.26
-8.942e-04,8.1,7.9,-0.74,-0.78,-0.12,-0.16,0.22,0.18
-8.938e-04,8.1,8.1,-0.78,-0.74,-0.12,-0.08,0.22,0.26
